PHASE 4: FOLDER REDESIGN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Folder Path,Folder Name,Depth Level,Parent Folder,
"/content/dam/securian/web-assets/minimum-rebrand/cta/icon-block, (crxde, html, json)",icon-block,5,/content/dam/securian/web-assets/minimum-rebrand/cta,"/content/dam/securian/web-assets/minimum-rebrand/cta/icon-block, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/cta/separated-block, (crxde, html, json)",separated-block,5,/content/dam/securian/web-assets/minimum-rebrand/cta,"/content/dam/securian/web-assets/minimum-rebrand/cta/separated-block, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/cta, (crxde, html, json)",cta,4,/content/dam/securian/web-assets/minimum-rebrand,"/content/dam/securian/web-assets/minimum-rebrand/cta, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/brand, (crxde, html, json)",brand,4,/content/dam/securian/web-assets/minimum-rebrand,"/content/dam/securian/web-assets/minimum-rebrand/brand, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/site-specific/group, (crxde, html, json)",group,5,/content/dam/securian/web-assets/minimum-rebrand/site-specific,"/content/dam/securian/web-assets/minimum-rebrand/site-specific/group, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/site-specific/retirement, (crxde, html, json)",retirement,5,/content/dam/securian/web-assets/minimum-rebrand/site-specific,"/content/dam/securian/web-assets/minimum-rebrand/site-specific/retirement, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/site-specific, (crxde, html, json)",site-specific,4,/content/dam/securian/web-assets/minimum-rebrand,"/content/dam/securian/web-assets/minimum-rebrand/site-specific, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/icons/process, (crxde, html, json)",process,5,/content/dam/securian/web-assets/minimum-rebrand/icons,"/content/dam/securian/web-assets/minimum-rebrand/icons/process, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/icons/resource-list, (crxde, html, json)",resource-list,5,/content/dam/securian/web-assets/minimum-rebrand/icons,"/content/dam/securian/web-assets/minimum-rebrand/icons/resource-list, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/icons/toolbar, (crxde, html, json)",toolbar,5,/content/dam/securian/web-assets/minimum-rebrand/icons,"/content/dam/securian/web-assets/minimum-rebrand/icons/toolbar, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/icons, (crxde, html, json)",icons,4,/content/dam/securian/web-assets/minimum-rebrand,"/content/dam/securian/web-assets/minimum-rebrand/icons, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/hero/article, (crxde, html, json)",article,5,/content/dam/securian/web-assets/minimum-rebrand/hero,"/content/dam/securian/web-assets/minimum-rebrand/hero/article, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand/hero, (crxde, html, json)",hero,4,/content/dam/securian/web-assets/minimum-rebrand,"/content/dam/securian/web-assets/minimum-rebrand/hero, (crxde, html, json)"
"/content/dam/securian/web-assets/minimum-rebrand, (crxde, html, json)",minimum-rebrand,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/minimum-rebrand, (crxde, html, json)"
"/content/dam/securian/web-assets/icon, (crxde, html, json)",icon,3,/content/dam/securian/web-assets,"/content/dam/securian/web-assets/icon, (crxde, html, json)"
"/content/dam/securian/web-assets/email/images/logo, (crxde, html, json)",logo,5,/content/dam/securian/web-assets/email/images,"/content/dam/securian/web-assets/email/images/logo, (crxde, html, json)"
"/content/dam/securian/web-assets/email/images/banner, (crxde, html, json)",banner,5,/content/dam/securian/web-assets/email/images,"/content/dam/securian/web-assets/email/images/banner, (crxde, html, json)"
