Group Membership Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3
mac-default-securian_b2b_videoshoot-owner,1,,DAM Collection
mac-default-special_events_diwali,1,,DAM Collection
mac-default-special_events_diwali-owner,1,,DAM Collection
mac-default-wholesalers,1,,DAM Collection
mac-default-wholesalers-owner,1,,DAM Collection
workflow-administrators,1,,Other
workflow-editors,1,,Other
workflow-users,1,,Other
mac-default-mass_asset_heather,1,,DAM Collection
mac-default-mass_asset_heather-owner,1,,DAM Collection
mac-default-mass_assets__ja,1,,DAM Collection
mac-default-mass_assets__ja-owner,1,,DAM Collection
mac-default-misc_updates,1,,DAM Collection
mac-default-misc_updates-owner,1,,DAM Collection
mac-default-_jeremy_s_privatecollection,1,,DAM Collection
mac-default-_jeremy_s_privatecollection-owner,1,,DAM Collection
mac-default-approved_sync_images,1,,DAM Collection
mac-default-approved_sync_images-owner,1,,DAM Collection
mac-default-bulk_publish,1,,DAM Collection
mac-default-bulk_publish-owner,1,,DAM Collection
mac-default-information_protectionpolicies,1,,DAM Collection
mac-default-information_protectionpolicies-owner,1,,DAM Collection
mac-default-inline_graphics,1,,DAM Collection
mac-default-inline_graphics-owner,1,,DAM Collection
mac-default-intern_photos,1,,DAM Collection
mac-default-intern_photos-owner,1,,DAM Collection
mac-default-kristin_f_images,1,,DAM Collection
mac-default-kristin_f_images-owner,1,,DAM Collection
mac-default-mass_unpublish,1,,DAM Collection
mac-default-mass_unpublish-owner,1,,DAM Collection
mac-default-navex_ppts,1,,DAM Collection
mac-default-navex_ppts-owner,1,,DAM Collection
mac-default-nonsearchable_syncassets,1,,DAM Collection
mac-default-nonsearchable_syncassets-owner,1,,DAM Collection
mac-default-sync_deletions,1,,DAM Collection
mac-default-sync_deletions-owner,1,,DAM Collection
mac-default-unused_sync_contactfragments,1,,DAM Collection
mac-default-unused_sync_contactfragments-owner,1,,DAM Collection
mac-default-doug_huberty-owner,1,,DAM Collection
mac-default-kevin_l,1,,DAM Collection
mac-default-kevin_l-owner,1,,DAM Collection
mac-default-nicole_lutz-owner,1,,DAM Collection
mac-default-kg_selects,1,,DAM Collection
mac-default-kg_selects-owner,1,,DAM Collection
mac-default-securecare_iv,1,,DAM Collection
mac-default-securecare_iv-owner,1,,DAM Collection
Adobe_AEM_WCM_ApprovalOverride,1,,Other
mac-default-pj_collection,1,,DAM Collection
mac-default-pj_collection-owner,1,,DAM Collection
mac-default-2025_photo_shoot,1,,DAM Collection
mac-default-2025_photo_shoot-owner,1,,DAM Collection
mac-default-bio_photos,1,,DAM Collection
mac-default-bio_photos-owner,1,,DAM Collection
mac-default-brand_assets_enterprisemarketingmaterials,1,,DAM Collection
mac-default-brand_assets_enterprisemarketingmaterials-owner,1,,DAM Collection
